Origin,Terminal Destination,Occurrences,,
GRU,SJD,1,,
GRU,BVA,1,,
CCS,JDO,1,,
CCS,WAW,1,,
CCS,HEL,1,,
GRU,JAX,1,,
CCS,MAN,1,,
GRU,KRK,1,,
CCS,IST,1,,
CCS,VVC,1,,
CCS,NTE,1,,
CCS,EOH,1,,
CCS,SVQ,1,,
GRU,MRS,1,,
CCS,AEP,1,,
GRU,PDL,1,,
CCS,NCE,1,,
GRU,AYP,1,,
CCS,BRI,1,,
GRU,FSD,1,,
GRU,URG,1,,
CCS,AUH,1,,
CCS,FNC,1,,
CCS,SSA,1,,
GRU,CAN,1,,
CCS,PIT,1,,
GRU,ECN,1,,
CCS,CMW,1,,
GRU,TIF,1,,
CCS,BOS,1,,
CCS,VIE,1,,
CCS,VGO,1,,
CCS,AMA,1,,
GRU,MEL,1,,
GRU,PBM,1,,
GRU,MUN,1,,
GRU,NBC,1,,
GRU,EJA,1,,
GRU,AAX,1,,
CCS,TYS,1,,
CCS,ASU,1,,
GRU,PSA,1,,
GRU,KEF,1,,
GRU,PER,1,,
GRU,ACY,1,,
CCS,PAZ,1,,
GRU,HUX,1,,
CCS,VKO,1,,
CCS,BZE,1,,
GRU,JUJ,1,,
CCS,GDL,1,,
GRU,EDI,1,,
GRU,KWI,1,,
CCS,CUC,1,,
CCS,SVX,1,,
CCS,BCN,1,,
GRU,RAK,1,,
GRU,MSU,1,,
CCS,ELQ,1,,
CCS,YVR,1,,
GRU,DMM,1,,
CCS,BRC,1,,
GRU,GCM,1,,
CCS,LCH,1,,
CCS,LPA,1,,
GRU,FLL,1,,
GRU,ACA,1,,
GRU,MLN,1,,
GRU,TBT,1,,
GRU,CAB,1,,
CCS,MXP,1,,
CCS,ARN,1,,
CCS,DCA,1,,
CCS,KBP,1,,
GRU,ERZ,1,,
GRU,KHI,1,,
CCS,SAW,1,,
CCS,LEI,1,,
GRU,RHD,1,,
GRU,HOR,1,,
CCS,PDA,1,,
CCS,TBT,1,,
CCS,FOR,1,,
GRU,BLA,1,,
GRU,CPT,1,,
GRU,SAW,1,,
CCS,HAM,1,,
CCS,CZU,1,,
GRU,GYD,1,,
SAL,GSP,1,,
SAL,PUJ,1,,
GRU,SYZ,1,,
SAL,AUS,1,,
SAL,PBI,1,,
GRU,FIH,1,,
GRU,BGW,1,,
GRU,COK,1,,
GRU,AQP,1,,
GRU,BJV,1,,
GRU,IPC,1,,
GRU,ORN,1,,
GRU,GNV,1,,
SAL,CUC,1,,
SAL,NRT,1,,
SAL,MOB,1,,
SAL,SAV,1,,
SAL,AQP,1,,
SAL,SYQ,1,,
SAL,BGA,1,,
SAL,DME,1,,
SAL,PWM,1,,
SAL,VIE,1,,
GRU,HOU,1,,
GRU,PIU,1,,
GRU,BIO,1,,
GRU,ICN,1,,
GRU,TIA,1,,
SAL,YQT,1,,
SAL,PSP,1,,
GRU,BDS,1,,
GRU,RBA,1,,
SAL,TYS,1,,
GRU,PUQ,1,,
GRU,NUE,1,,
GRU,MAA,1,,
GRU,AXM,1,,
SAL,ASE,1,,
GRU,BHD,1,,
SAL,KBP,1,,
SAL,GPI,1,,
SAL,SVO,1,,
GRU,OOL,1,,
SAL,DEN,1,,
SAL,COR,1,,
GRU,NAL,1,,
GRU,DME,1,,
SAL,PUU,1,,
SAL,SCQ,1,,
GRU,NVA,1,,
SAL,TRC,1,,
SAL,PSO,1,,
GRU,AMM,1,,
GRU,ARN,1,,
GRU,PLS,1,,
SAL,SDF,1,,
SAL,HPN,1,,
SAL,ICN,1,,
GRU,GEO,1,,
GRU,MAR,1,,
GRU,LUX,1,,
SAL,AEX,1,,
GRU,RIX,1,,
GRU,KSY,1,,
SAL,VUP,1,,
GRU,PDX,1,,
GRU,MEC,1,,
SAL,LGW,1,,
SAL,ROC,1,,
SAL,PEK,1,,
GRU,BWI,1,,
SAL,YVR,1,,
SAL,DCA,1,,
GRU,LIN,1,,
SAL,PDX,1,,
SAL,MTR,1,,
SAL,BDL,1,,
GRU,CZM,1,,
GRU,CUE,1,,
GRU,KTM,1,,
SAL,PBG,1,,
SAL,TMU,1,,
SAL,SJU,1,,
GRU,CPO,1,,
SAL,MTT,1,,
SAL,JAX,1,,
SAL,ANS,1,,
SAL,PTP,1,,
SAL,GLF,1,,
SAL,AMS,1,,
GRU,PAZ,1,,
SAL,FPO,1,,
SAL,CUN,1,,
SAL,ANC,1,,
GRU,GDL,1,,
GRU,PEW,1,,
SAL,DXB,1,,
SAL,VLN,1,,
SAL,SNA,1,,
SAL,AXM,1,,
SAL,CRW,1,,
GRU,GSP,1,,
SAL,BLA,1,,
GRU,MDT,1,,
GRU,ACK,1,,
SAL,PLJ,1,,
GRU,TJA,1,,
SAL,ADL,1,,
GRU,MCI,1,,
SAL,SJC,1,,
SAL,BHM,1,,
SAP,MTY,1,,
SAP,DAY,1,,
GRU,FMO,1,,
SAP,PEU,1,,
GRU,VIE,1,,
SAP,LRM,1,,
SAP,FRA,1,,
SAP,ORD,1,,
SAP,TPA,1,,
SAP,LAS,1,,
SAP,BLA,1,,
GRU,VLN,1,,
SAP,CLQ,1,,
SAP,AUA,1,,
SAP,DXB,1,,
SAP,BZE,1,,
SAP,HPN,1,,
SAP,SJU,1,,
SAP,CLT,1,,
GRU,SAP,1,,
SAP,OAX,1,,
GRU,ASB,1,,
SAP,LIM,1,,
GRU,CUU,1,,
SAP,SCL,1,,
SAP,HOU,1,,
SAP,TIJ,1,,
SAP,DTW,1,,
SAP,LHR,1,,
SAP,EWR,1,,
GRU,HEL,1,,
GRU,IQT,1,,
GRU,VVC,1,,
GRU,CMB,1,,
BOG,MTT,1,,
GRU,YQB,1,,
GRU,LUO,1,,
GRU,BLQ,1,,
GRU,YYT,1,,
GRU,TSE,1,,
GRU,SZG,1,,
GRU,DUR,1,,
GRU,IND,1,,
BOG,EYW,1,,
GRU,NBO,1,,
GRU,JPR,1,,
GRU,IXE,1,,
GRU,SCQ,1,,
GRU,VLC,1,,
GRU,MAF,1,,
BOG,RDU,1,,
GRU,POP,1,,
GRU,KIX,1,,
GRU,SUN,1,,
GRU,RAI,1,,
GRU,VCE,1,,
BOG,BHX,1,,
BOG,SDU,1,,
BOG,PEK,1,,
BOG,ETR,1,,
GRU,PNA,1,,
BOG,NOB,1,,
BOG,SAN,1,,
BOG,TFS,1,,
BOG,ZCO,1,,
BOG,CLE,1,,
BOG,AMA,1,,
BOG,HRL,1,,
BOG,PAZ,1,,
BOG,DAL,1,,
BOG,YQB,1,,
BOG,OAX,1,,
BOG,CUU,1,,
BOG,TUN,1,,
BOG,BRC,1,,
BOG,SCY,1,,
BOG,BBA,1,,
BOG,BAH,1,,
BOG,AGU,1,,
BOG,MSY,1,,
BOG,FNC,1,,
BOG,VKO,1,,
BOG,DUS,1,,
BOG,MZT,1,,
BOG,EGE,1,,
BOG,NAP,1,,
BOG,JUL,1,,
BOG,CJA,1,,
BOG,SNA,1,,
BOG,LIR,1,,
BOG,VCP,1,,
BOG,POA,1,,
BOG,MXP,1,,
BOG,HAM,1,,
BOG,TPQ,1,,
BOG,BSB,1,,
BOG,SLC,1,,
BOG,CLQ,1,,
BOG,OAK,1,,
BOG,PBG,1,,
BOG,JAU,1,,
BOG,STI,1,,
BOG,PIT,1,,
BOG,VCE,1,,
BOG,MAN,1,,
BOG,MDW,1,,
BOG,JNB,1,,
BOG,CVG,1,,
BOG,TAP,1,,
BOG,YYC,1,,
BOG,CMN,1,,
BOG,MOB,1,,
BOG,TGZ,1,,
BOG,ACA,1,,
BOG,CAI,1,,
BOG,ADD,1,,
BOG,REX,1,,
BOG,TBP,1,,
BOG,RGA,1,,
BOG,HEL,1,,
BOG,RIX,1,,
BOG,CAN,1,,
BOG,SXF,1,,
BOG,NVT,1,,
BOG,MNL,1,,
BOG,SCU,1,,
BOG,CUL,1,,
BOG,GLA,1,,
BOG,OKC,1,,
BOG,TME,1,,
BOG,LMM,1,,
BOG,AUH,1,,
BOG,OSL,1,,
BOG,NRT,1,,
BOG,ABV,1,,
BOG,MDZ,1,,
BOG,MCZ,1,,
BOG,MAH,1,,
BOG,KRK,1,,
BOG,SVD,1,,
BOG,OTP,1,,
BOG,YWG,1,,
BOG,TRC,1,,
BOG,YVR,1,,
BOG,GYN,1,,
BOG,GRX,1,,
BOG,MXL,1,,
BOG,ALG,1,,
BOG,TTN,1,,
BOG,CTA,1,,
BOG,MEM,1,,
BOG,CWL,1,,
BOG,BOC,1,,
BOG,NQU,1,,
BOG,IGR,1,,
BOG,BHD,1,,
BOG,TIJ,1,,
BOG,ZCL,1,,
