Origin,Origin Name,Origin City,Origin State,Origin Country,Destination,Destination Name,Destination City,Destination State,Destination Country,Occurrences,Total Seats
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,VIX,E. de Aguiar Salles,Vitoria,ES,Brazil,49,214454
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,EZE,Ministro Pistarini,Buenos Aires,BA,Argentina,54,213734
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MIA,Miami International,Miami,FL,United States,42,209337
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,CGB,Marechal Rondon Intl,Cuiaba,MT,Brazil,34,185693
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,AEP,Jorge Newbery,Buenos Aires-Newbery,BA,Argentina,146,181906
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,GYN,Santa Genoveva,Goiania,GO,Brazil,50,173184
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,NAT,Natal International,Natal,RN,Brazil,34,171808
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,CDG,Charles De Gaulle,Paris-De Gaulle,,France,19,168060
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,PTY,"Tocumen Intl, Panama R",Panama City,,Panama,18,161642
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,JFK,John F Kennedy Intl,New York-JFK,NY,United States,69,160464
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,BEL,Val de Cans Intl,Belem,PA,Brazil,30,157169
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,IGU,Cataratas International,Foz do Iguacu,PR,Brazil,28,152185
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,FRA,Frankfurt International Airport,Frankfurt,,Germany,7,143974
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MAO,Eduardo Gomes Intl,Manaus,AM,Brazil,29,139256
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,MAD,Adolfo Suarez-Barajas,Madrid,,Spain,45,130430
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,LHR,Heathrow,London-Heathrow,EN,United Kingdom,24,126856
GRU,Guarulhos Intl,Sao Paulo-Guarulhos,SP,Brazil,BOG,El Dorado Intl,Bogota,,Colombia,28,124020
