Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
CCS,"Simon Bolivar International",Caracas,,Venezuela,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,110,270076
BOG,"El Dorado Intl",Bogota,,Colombia,CCS,"Simon Bolivar International",Caracas,,Venezuela,49,267566
CCS,"Simon Bolivar International",Caracas,,Venezuela,BOG,"El Dorado Intl",Bogota,,Colombia,41,263007
BOG,"El Dorado Intl",Bogota,,Colombia,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,19,258610
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,EZE,"Ministro Pistarini","Buenos Aires",BA,Argentina,116,255187
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AEP,"Jorge Newbery","Buenos Aires-Newbery",BA,Argentina,249,245075
BOG,"El Dorado Intl",Bogota,,Colombia,AXM,"El Eden International",Armenia,,Colombia,111,237914
CCS,"Simon Bolivar International",Caracas,,Venezuela,BLA,"J.A. Anzoategui Intl",Barcelona,,Venezuela,55,232460
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,VIX,"E. de Aguiar Salles",Vitoria,ES,Brazil,167,225526
SAL,"El Salvador Intl","San Salvador",,"El Salvador",SJO,"Juan Santamaria Intl","San Jose",,"Costa Rica",119,221825
CCS,"Simon Bolivar International",Caracas,,Venezuela,BRM,"Jacinto Lara Intl",Barquisimeto,,Venezuela,32,219995
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MCZ,"Zumbi dos Palmares Int",Maceio,AL,Brazil,95,215234
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CDG,"Charles De Gaulle","Paris-De Gaulle",,France,35,211345
BOG,"El Dorado Intl",Bogota,,Colombia,MZL,"La Nubia",Manizales,,Colombia,64,209288
BOG,"El Dorado Intl",Bogota,,Colombia,EYP,"El Alcaravan",Yopal,,Colombia,84,203861
BOG,"El Dorado Intl",Bogota,,Colombia,CUN,"Cancun International",Cancun,,Mexico,50,202970
BOG,"El Dorado Intl",Bogota,,Colombia,NVA,"Benito Salas",Neiva,,Colombia,104,200692
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LIM,"Jorge Chavez Intl",Lima,,Peru,42,191863
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,93,189967
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CGB,"Marechal Rondon Intl",Cuiaba,MT,Brazil,113,188502
SAL,"El Salvador Intl","San Salvador",,"El Salvador",GUA,"La Aurora International","Guatemala City",,Guatemala,106,187982
CCS,"Simon Bolivar International",Caracas,,Venezuela,AUA,"Reina Beatrix",Aruba,,Aruba,37,187709
CCS,"Simon Bolivar International",Caracas,,Venezuela,VIG,"Juan P. Perez Alfonso","El Vigia",,Venezuela,37,185571
BOG,"El Dorado Intl",Bogota,,Colombia,VUP,"Alfonso Lopez Pumarejo",Valledupar,,Colombia,81,185399
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,GYN,"Santa Genoveva",Goiania,GO,Brazil,146,184840
BOG,"El Dorado Intl",Bogota,,Colombia,GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,64,174612
BOG,"El Dorado Intl",Bogota,,Colombia,PSO,"Antonio Narino",Pasto,,Colombia,104,167856
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,LHR,Heathrow,London-Heathrow,EN,"United Kingdom",39,165915
CCS,"Simon Bolivar International",Caracas,,Venezuela,MIA,"Miami International",Miami,FL,"United States",35,165679
CCS,"Simon Bolivar International",Caracas,,Venezuela,MUN,"Jose T. Monagas International",Maturin,,Venezuela,32,165310
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BEL,"Val de Cans Intl",Belem,PA,Brazil,75,161534
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BOG,"El Dorado Intl",Bogota,,Colombia,59,159374
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,IGU,"Cataratas International","Foz do Iguacu",PR,Brazil,95,158266
CCS,"Simon Bolivar International",Caracas,,Venezuela,STD,"Buenaventura Vivas","Santo Domingo",,Venezuela,38,157354
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,PTY,"Tocumen Intl, Panama R","Panama City",,Panama,45,155546
SAL,"El Salvador Intl","San Salvador",,"El Salvador",LIM,"Jorge Chavez Intl",Lima,,Peru,32,153342
