Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
SAL,"El Salvador Intl","San Salvador",,"El Salvador",PTY,"Tocumen Intl, Panama R","Panama City",,Panama,56,124794
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MAO,"Eduardo Gomes Intl",Manaus,AM,Brazil,50,118327
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,NAT,"Natal International",Natal,RN,Brazil,62,118230
BOG,"El Dorado Intl",Bogota,,Colombia,EOH,"Enrique Olaya Herrera",Medellin,,Colombia,76,116973
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BOG,"El Dorado Intl",Bogota,,Colombia,70,116734
BOG,"El Dorado Intl",Bogota,,Colombia,LET,"Alfredo V. Cobb Intl",Leticia,,Colombia,40,116304
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,BEL,"Val de Cans Intl",Belem,PA,Brazil,76,114944
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MVD,Carrasco,Montevideo,,Uruguay,91,112878
CCS,"Simon Bolivar International",Caracas,,Venezuela,MAD,"Adolfo Suarez-Barajas",Madrid,,Spain,42,111887
SAL,"El Salvador Intl","San Salvador",,"El Salvador",TGU,"Toncontin Intl",Tegucigalpa,,Honduras,43,109928
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,FRA,"Frankfurt International Airport",Frankfurt,,Germany,15,105322
BOG,"El Dorado Intl",Bogota,,Colombia,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",27,104439
BOG,"El Dorado Intl",Bogota,,Colombia,IBE,Perales,Ibague,,Colombia,58,103472
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,AJU,"Santa Maria",Aracaju,SE,Brazil,52,101470
SAL,"El Salvador Intl","San Salvador",,"El Salvador",LAX,"Los Angeles Intl","Los Angeles",CA,"United States",35,100677
BOG,"El Dorado Intl",Bogota,,Colombia,PUJ,"Punta Cana International","Punta Cana",,"Dominican Republic",39,100567
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CGR,"Campo Grande International","Campo Grande",MS,Brazil,89,100233
BOG,"El Dorado Intl",Bogota,,Colombia,SJO,"Juan Santamaria Intl","San Jose",,"Costa Rica",18,97440
SAL,"El Salvador Intl","San Salvador",,"El Salvador",MEX,"Benito Juarez Intl","Mexico City",,Mexico,34,97010
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JFK,"John F Kennedy Intl","New York-JFK",NY,"United States",58,94861
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,MEX,"Benito Juarez Intl","Mexico City",,Mexico,73,89478
BOG,"El Dorado Intl",Bogota,,Colombia,EJA,Yariguies,Barrancabermeja,,Colombia,43,88782
BOG,"El Dorado Intl",Bogota,,Colombia,RCH,"Almirante Padilla",Riohacha,,Colombia,47,86950
BOG,"El Dorado Intl",Bogota,,Colombia,SDQ,"Las Americas International","Santo Domingo",,"Dominican Republic",21,86730
SAL,"El Salvador Intl","San Salvador",,"El Salvador",BOG,"El Dorado Intl",Bogota,,Colombia,85,84774
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ASU,"Silvio Pettirossi Intl",Asuncion,,Paraguay,61,83173
BOG,"El Dorado Intl",Bogota,,Colombia,SAL,"El Salvador Intl","San Salvador",,"El Salvador",77,82950
