Origin,"Origin Name","Origin City","Origin State","Origin Country",Destination,"Destination Name","Destination City","Destination State","Destination Country","Direct Flights","Total Seats"
SAL,"El Salvador Intl","San Salvador",,"El Salvador",LIR,"D. Oduber Quiros Intl",Liberia,,"Costa Rica",9,24616
BOG,"El Dorado Intl",Bogota,,Colombia,BUN,"Gerardo Tobar Lopez",Buenaventura,,Colombia,7,23075
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,JDO,"O. Bezerra de Menezes","Juazeiro Do Norte",CE,Brazil,2,23046
BOG,"El Dorado Intl",Bogota,,Colombia,FRA,"Frankfurt International Airport",Frankfurt,,Germany,3,22676
BOG,"El Dorado Intl",Bogota,,Colombia,LPB,"El Alto International","La Paz",,Bolivia,8,22320
BOG,"El Dorado Intl",Bogota,,Colombia,IAD,"Dulles International",Washington-Dulles,VA,"United States",8,22320
BOG,"El Dorado Intl",Bogota,,Colombia,YYZ,"Lester B. Pearson Intl",Toronto,ON,Canada,7,22095
CCS,"Simon Bolivar International",Caracas,,Venezuela,PYH,"Cacique Aramare","Puerto Ayacucho",,Venezuela,6,21944
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,DTW,"Metropolitan Wayne County",Detroit,MI,"United States",12,21828
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,IAD,"Dulles International",Washington-Dulles,VA,"United States",5,21435
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,ORD,"O'Hare International",Chicago-O'Hare,IL,"United States",4,21149
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,ATL,"Hartsfield-Jackson ATL",Atlanta,GA,"United States",26,20542
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,PUJ,"Punta Cana International","Punta Cana",,"Dominican Republic",9,20355
BOG,"El Dorado Intl",Bogota,,Colombia,TCO,"La Florida",Tumaco,,Colombia,14,19843
CCS,"Simon Bolivar International",Caracas,,Venezuela,CZE,"Jose Leonardo Chirinos",Coro,,Venezuela,6,19794
SAP,"Ramon V. Morales Intl","San Pedro Sula",,Honduras,FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",12,19589
BOG,"El Dorado Intl",Bogota,,Colombia,SJE,"Jorge E. Gonzalez T.","San Jose Del Guaviar",,Colombia,17,18873
BOG,"El Dorado Intl",Bogota,,Colombia,PDA,Obando,"Puerto Inirida",,Colombia,21,18756
CCS,"Simon Bolivar International",Caracas,,Venezuela,GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,8,18681
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,SJP,"Eribelto Manoel Reino","Sao Jose do Rio Preto",SP,Brazil,3,18291
BOG,"El Dorado Intl",Bogota,,Colombia,EWR,"Newark Intl",Newark,NJ,"United States",8,18276
BOG,"El Dorado Intl",Bogota,,Colombia,APO,"Carepa-A.R. Betancourt",Apartado,,Colombia,7,17797
SAL,"El Salvador Intl","San Salvador",,"El Salvador",FLL,"Ft Lauderdale Intl","Fort Lauderdale",FL,"United States",7,17690
GRU,"Guarulhos Intl","Sao Paulo-Guarulhos",SP,Brazil,CCS,"Simon Bolivar International",Caracas,,Venezuela,6,17115
